bin middle,normalized density
-165.0,0.0
-155.0,0.0
-145.0,0.0
-135.0,0.0
-125.0,0.0
-115.0,0.0
-105.0,0.0
-95.0,0.00023106583462777875
-85.0,0.009143463466926936
-75.0,0.10599042133334263
-65.0,0.5256232675535858
-55.0,1.0
-45.0,0.7074808731184952
-35.0,0.14317731741536258
-25.0,-0.0003270640252096038
-15.0,0.007205171303173254
-5.0,0.02342614029412063
5.0,0.02342614029412063
15.0,0.007205171303173254
25.0,-0.0003270640252096038
35.0,0.14317731741536258
45.0,0.7074808731184952
55.0,1.0
65.0,0.5256232675535858
75.0,0.10599042133334263
85.0,0.009143463466926936
95.0,0.00023106583462777875
105.0,0.0
115.0,0.0
125.0,0.0
135.0,0.0
145.0,0.0
155.0,0.0
165.0,0.0
